"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","2207","500","0","9","19","184","2","176","0","72","2","176","142968","142968","0"
"nlsr1","5803","500","500","60","30","552","380","531","373","216","2","904","814696","431235","383461"
"nlsr2","4547","46","373","50","39","498","393","531","396","210","2","927","838167","431235","406932"
"nlsr3","2970","14","127","30","29","354","220","354","235","132","2","589","528963","287490","241473"
"nlsr4","3634","31","31","50","39","509","373","531","366","164","2","897","807528","431235","376293"
"nlsr5","3827","15","15","50","39","531","390","531","376","194","2","907","817697","431235","386462"
"nlsr6","4243","14","14","50","39","534","427","531","438","184","2","969","881440","431199","450241"
"nlsr7","2411","16","16","30","30","341","194","354","184","110","2","538","476688","287490","189198"
"nlsr8","2401","15","15","30","29","348","189","354","184","104","2","538","476664","287490","189174"
"nlsr9","2435","13","13","29","29","354","189","354","181","126","2","535","473562","287490","186072"
"nlsr10","4070","2","2","39","48","540","417","531","407","168","2","938","849729","431235","418494"
"nlsr11","2844","14","14","29","29","352","237","354","259","118","2","613","553549","287490","266059"
"nlsr12","2416","16","16","29","29","348","186","354","184","128","2","538","476686","287490","189196"
"nlsr13","2401","15","15","29","29","352","186","354","184","118","1","538","476676","287476","189200"
"nlsr14","2400","13","13","27","28","354","179","354","181","130","2","535","473564","287490","186074"
"nlsr15","3944","16","16","36","47","522","422","531","411","156","2","942","853711","431217","422494"
"sum","52553","1240","1180","577","532","6673","4384","6725","4359","2330","31","11084","9942288","5461465","4480823"
