"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","2207","500","500","28","28","368","181","528","72","2","2207","466884"
"nlsr1","5803","1000","1000","90","90","1077","630","1698","216","2","5803","1515672"
"nlsr2","4547","419","419","89","89","1029","623","1667","210","2","4547","1484162"
"nlsr3","2970","141","141","59","59","714","490","1232","132","2","2970","1113670"
"nlsr4","3634","62","62","89","89","1018","554","1594","164","2","3634","1409387"
"nlsr5","3827","30","30","89","89","1054","655","1684","194","2","3827","1501849"
"nlsr6","4243","28","28","89","89","1068","821","1934","184","2","4243","1758934"
"nlsr7","2411","32","32","60","60","686","367","1062","110","2","2411","938954"
"nlsr8","2401","30","30","59","59","692","363","1062","104","2","2401","939358"
"nlsr9","2435","26","26","58","58","708","369","1062","126","2","2435","938934"
"nlsr10","4070","4","4","87","87","1069","811","1838","168","2","4070","1660331"
"nlsr11","2844","28","28","58","58","704","553","1295","118","2","2844","1178283"
"nlsr12","2416","32","32","58","58","683","362","1061","128","2","2416","938126"
"nlsr13","2401","30","30","58","58","687","357","1062","118","1","2401","939145"
"nlsr14","2400","26","26","55","55","686","358","1062","130","2","2400","938934"
"nlsr15","3944","32","32","83","83","1042","735","1779","156","2","3944","1599450"
"sum","52553","2420","2420","1109","1109","13285","8229","21620","2330","31","52553","19322073"
