"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1811","500","500","27","27","249","114","341","52","1","1811"
"nlsr1","4472","1000","1000","82","82","740","363","1032","172","1","4472"
"nlsr2","2980","255","255","85","85","732","364","1031","172","1","2980"
"nlsr3","2255","305","305","54","54","481","246","687","122","1","2255"
"nlsr4","1690","34","34","54","54","476","236","687","114","1","1690"
"nlsr5","1691","24","24","55","55","487","243","688","114","1","1691"
"nlsr6","2603","62","62","84","81","715","370","1032","196","1","2603"
"nlsr7","1678","34","34","54","54","454","234","687","126","1","1678"
"nlsr8","1662","24","24","56","55","465","237","688","112","1","1662"
"nlsr9","1673","32","32","53","53","453","242","687","120","1","1673"
"nlsr10","1703","30","30","54","54","467","240","688","139","1","1703"
"sum","24218","2300","2300","658","654","5719","2889","8248","1439","11","24218"
