"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1956","500","500","27","27","289","139","413","60","1","1956"
"nlsr1","4883","1000","1000","85","85","848","439","1239","186","1","4883"
"nlsr2","3485","294","294","85","85","846","444","1239","197","1","3485"
"nlsr3","2416","266","266","57","57","545","292","826","106","1","2416"
"nlsr4","2006","32","32","57","57","578","293","826","130","1","2006"
"nlsr5","1964","32","32","56","55","557","289","826","116","1","1964"
"nlsr6","2892","56","56","81","81","807","425","1239","146","1","2892"
"nlsr7","1990","32","32","54","54","566","296","826","129","1","1990"
"nlsr8","1923","32","32","53","53","539","280","825","108","1","1923"
"nlsr9","1916","30","30","54","54","534","285","825","102","2","1916"
"nlsr10","1896","26","26","53","53","534","277","826","100","1","1896"
"sum","27327","2300","2300","662","661","6643","3459","9910","1380","12","27327"
