"name","sync0","sync1","sync2","sync3","sync4","sync5","sync6","sync7","sync8","sync9","sync10"
"nlsr_pc",288,296,294,321,348,339,387,373,397,393,419
"nlsr1",878,894,897,972,1050,1032,1167,1131,1201,1185,1257
"nlsr2",873,896,897,972,1050,1031,1167,1131,1205,1185,1257
"nlsr3",582,594,598,646,700,688,784,753,802,790,841
"nlsr4",580,597,598,648,694,686,779,753,802,787,838
"nlsr5",582,596,592,648,696,688,778,754,803,786,838
"nlsr6",873,891,891,972,1044,1031,1171,1131,1203,1178,1259
"nlsr7",582,598,593,645,696,686,778,754,802,784,835
"nlsr8",582,598,594,648,696,684,781,754,802,786,836
"nlsr9",582,594,594,648,695,684,778,754,802,786,838
"nlsr10",582,594,594,648,696,684,778,750,802,786,838
"sum",6984,7148,7142,7768,8365,8233,9348,9038,9621,9446,10056
"ave",634.909090909091,649.818181818182,649.272727272727,706.181818181818,760.454545454545,748.454545454545,849.818181818182,821.636363636364,874.636363636364,858.727272727273,914.181818181818
"r_sum",6696,6852,6848,7447,8017,7894,8961,8665,9224,9053,9637
"r_ave",669.6,685.2,684.8,744.7,801.7,789.4,896.1,866.5,922.4,905.3,963.7
"r_sum1-6",4368,4468,4473,4858,5234,5156,5846,5653,6016,5911,6290
"r_ave1-6",728,744.666666666667,745.5,809.666666666667,872.333333333333,859.333333333333,974.333333333333,942.166666666667,1002.66666666667,985.166666666667,1048.33333333333
"r_sum7-10",2328,2384,2375,2589,2783,2738,3115,3012,3208,3142,3347
"r_ave7-10",582,596,593.75,647.25,695.75,684.5,778.75,753,802,785.5,836.75
