"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","441","100","100","9","9","80","33","91","18","1","441"
"nlsr1","1162","200","200","34","34","238","109","282","64","1","1162"
"nlsr2","943","80","80","36","36","250","108","280","72","1","943"
"nlsr3","633","69","69","24","24","148","74","182","42","1","633"
"nlsr4","578","26","26","24","24","172","71","184","50","1","578"
"nlsr5","559","28","28","24","24","164","70","182","38","1","559"
"nlsr6","809","44","44","35","35","211","106","275","58","1","809"
"nlsr7","552","26","26","22","22","163","71","183","38","1","552"
"nlsr8","541","28","28","22","22","156","67","183","34","1","541"
"nlsr9","511","18","18","22","22","132","68","184","46","1","511"
"nlsr10","505","26","26","21","21","132","64","181","34","0","505"
"sum","7234","645","645","273","273","1846","841","2207","494","10","7234"
