"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1932","500","500","26","25","280","134","399","66","2","1932"
"nlsr1","4830","1000","1000","83","83","842","425","1209","186","2","4830"
"nlsr2","3331","262","262","81","81","837","423","1207","176","2","3331"
"nlsr3","2477","298","298","54","54","557","294","806","114","2","2477"
"nlsr4","1910","30","30","54","54","559","275","804","102","2","1910"
"nlsr5","1930","28","28","54","54","554","279","804","128","1","1930"
"nlsr6","2937","62","62","81","81","841","437","1206","166","1","2937"
"nlsr7","1893","30","30","54","54","539","273","804","106","3","1893"
"nlsr8","1905","28","28","54","54","529","275","803","132","2","1905"
"nlsr9","1923","32","32","54","54","552","288","803","106","2","1923"
"nlsr10","1933","30","30","54","54","560","285","804","114","2","1933"
"sum","27001","2300","2300","649","648","6650","3388","9649","1396","21","27001"
