"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","725","498","0","9","18","103","1","96","0","62","1","96","62863","62863","0"
"nlsr1","2084","498","498","54","26","318","202","294","194","188","3","488","361547","192405","169142"
"nlsr2","1368","33","242","47","37","312","205","294","198","176","2","492","364988","192405","172583"
"nlsr3","954","32","256","28","28","216","102","195","97","128","3","292","212200","127629","84571"
"nlsr4","697","17","17","27","28","214","100","196","98","116","2","294","213715","128270","85445"
"nlsr5","689","16","16","27","27","202","106","194","101","128","1","295","215033","126988","88045"
"nlsr6","1156","32","32","45","37","306","215","294","195","170","1","489","362403","192405","169998"
"nlsr7","696","17","17","29","27","210","101","196","99","116","1","295","214595","128270","86325"
"nlsr8","688","16","16","29","27","202","103","196","99","130","1","295","214576","128270","86306"
"nlsr9","694","16","16","29","27","210","101","196","99","108","1","295","214584","128270","86314"
"nlsr10","696","16","16","27","27","214","102","196","98","110","1","294","213713","128270","85443"
"sum","10447","1191","1126","351","309","2507","1338","2347","1278","1432","17","3625","2650217","1536045","1114172"
