"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","1977","500","500","27","27","287","139","410","86","1","1977","348881"
"nlsr1","5065","1000","1000","90","90","846","485","1325","228","1","5065","1139108"
"nlsr2","4075","560","560","90","90","804","479","1290","200","2","4075","1104227"
"nlsr3","2202","0","0","60","60","572","404","980","124","2","2202","855732"
"nlsr4","2965","60","60","88","88","806","442","1239","180","2","2965","1053618"
"nlsr5","3156","60","60","86","86","824","510","1303","226","1","3156","1117260"
"nlsr6","3462","0","0","86","86","853","700","1535","200","2","3462","1348349"
"nlsr7","1977","30","30","58","58","549","293","826","132","1","1977","702629"
"nlsr8","1954","30","30","59","59","546","285","826","118","1","1954","702412"
"nlsr9","1998","30","30","57","57","551","292","826","154","1","1998","702412"
"nlsr10","3355","30","30","85","85","841","649","1434","200","1","3355","1247860"
"nlsr11","2245","0","0","57","57","555","436","1014","124","2","2245","889526"
"nlsr12","1962","30","30","57","57","538","285","825","138","2","1962","702077"
"nlsr13","1903","30","30","56","56","531","277","824","98","1","1903","700874"
"nlsr14","1949","30","30","56","56","538","282","825","130","2","1949","701634"
"nlsr15","3140","30","30","83","83","809","556","1375","172","2","3140","1190429"
"sum","43385","2420","2420","1095","1095","10450","6514","16857","2510","24","43385","14507028"
