"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","1977","500","0","9","18","143","1","136","0","86","1","136","105894","105894","0"
"nlsr1","5065","500","500","60","30","432","294","414","297","228","1","711","617748","322323","295425"
"nlsr2","4075","60","500","50","40","387","311","414","301","200","2","715","621848","322323","299525"
"nlsr3","2202","0","0","30","30","284","167","276","180","124","2","456","394096","214882","179214"
"nlsr4","2965","30","30","49","39","402","292","414","281","180","2","695","601911","322323","279588"
"nlsr5","3156","30","30","48","38","417","310","414","295","226","1","709","615865","322323","293542"
"nlsr6","3462","0","0","48","38","432","361","414","354","200","2","768","674657","322380","352277"
"nlsr7","1977","15","15","30","28","278","152","276","141","132","1","417","355140","214882","140258"
"nlsr8","1954","15","15","30","29","272","148","276","141","118","1","417","355190","214882","140308"
"nlsr9","1998","15","15","28","29","274","146","276","140","154","1","416","354211","214882","139329"
"nlsr10","3355","15","15","37","48","423","326","414","316","200","1","730","636782","322380","314402"
"nlsr11","2245","0","0","28","29","276","180","276","199","124","2","475","412951","214920","198031"
"nlsr12","1962","15","15","28","29","274","147","274","141","138","2","415","353636","213336","140300"
"nlsr13","1903","15","15","28","28","278","142","275","140","98","1","415","353409","214113","139296"
"nlsr14","1949","15","15","28","28","276","145","276","141","130","2","417","355205","214882","140323"
"nlsr15","3140","15","15","37","46","405","331","411","319","172","2","730","637499","320046","317453"
"sum","43385","1240","1180","568","527","5253","3453","5236","3386","2510","24","8622","7446042","4076771","3369271"
