"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","1694","496","496","27","27","206","98","285","58","1","1694","206167"
"nlsr1","4155","992","992","83","83","634","312","870","188","1","4155","628653"
"nlsr2","2780","305","305","81","81","641","308","870","188","1","2780","628653"
"nlsr3","1970","258","258","54","54","418","215","580","132","1","1970","419102"
"nlsr4","1483","32","32","54","54","415","202","577","116","1","1483","417197"
"nlsr5","1509","36","36","54","54","421","211","580","116","1","1509","419102"
"nlsr6","2268","66","66","81","81","614","306","869","184","1","2268","628018"
"nlsr7","1463","32","32","54","54","396","199","579","116","1","1463","418467"
"nlsr8","1474","36","36","55","55","391","206","580","114","1","1474","419102"
"nlsr9","1464","36","36","55","55","381","204","580","116","1","1464","419102"
"nlsr10","1451","30","30","54","54","393","197","576","116","1","1451","416570"
"sum","21711","2319","2319","652","652","4910","2458","6946","1444","11","21711","5020133"
