"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","2148","499","499","27","27","346","173","504","72","1","2148"
"nlsr1","5605","998","998","85","85","1012","599","1627","200","1","5605"
"nlsr2","4594","559","559","86","86","939","570","1592","202","1","4594"
"nlsr3","2584","0","0","59","59","684","472","1185","124","1","2584"
"nlsr4","3485","60","60","89","89","954","516","1527","188","2","3485"
"nlsr5","3664","60","60","89","89","974","607","1609","174","2","3664"
"nlsr6","4009","0","0","89","89","1011","784","1835","200","1","4009"
"nlsr7","2296","26","26","58","58","657","340","1016","114","1","2296"
"nlsr8","2321","34","34","57","57","650","350","1018","120","1","2321"
"nlsr9","2320","30","30","58","57","662","349","1019","114","1","2320"
"nlsr10","3938","30","30","86","86","993","775","1767","170","1","3938"
"nlsr11","2678","0","0","57","57","673","535","1225","130","1","2678"
"nlsr12","2289","26","26","56","56","658","340","1017","108","2","2289"
"nlsr13","2295","34","34","55","55","639","343","1018","116","1","2295"
"nlsr14","2290","30","30","55","55","641","344","1018","116","1","2290"
"nlsr15","3822","30","30","88","87","985","716","1709","176","1","3822"
"sum","50338","2416","2416","1094","1092","12478","7813","20686","2324","19","50338"
