"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1725","500","500","27","27","219","101","294","56","1","1725"
"nlsr1","4230","1000","1000","88","87","655","322","897","180","1","4230"
"nlsr2","2711","244","244","87","86","653","327","897","172","1","2711"
"nlsr3","2118","319","319","55","55","425","216","598","130","1","2118"
"nlsr4","1525","26","26","55","55","441","217","598","106","1","1525"
"nlsr5","1511","30","30","55","55","419","213","592","116","1","1511"
"nlsr6","2303","70","70","81","81","617","314","891","178","1","2303"
"nlsr7","1487","26","26","54","54","426","209","593","98","1","1487"
"nlsr8","1478","30","30","54","54","389","212","594","114","1","1478"
"nlsr9","1459","36","36","54","54","377","201","594","106","1","1459"
"nlsr10","1488","34","34","54","54","400","213","594","104","1","1488"
"sum","22035","2315","2315","664","662","5021","2545","7142","1360","11","22035"
