"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","1835","500","500","27","27","256","117","347","60","1","1835","253537"
"nlsr1","4543","1000","1000","83","83","754","374","1041","206","2","4543","760611"
"nlsr2","3086","270","270","81","81","749","393","1040","200","2","3086","759955"
"nlsr3","2252","290","290","54","54","492","249","694","128","1","2252","507074"
"nlsr4","1728","32","32","54","54","496","252","691","116","1","1728","505106"
"nlsr5","1734","26","26","54","54","495","259","693","126","1","1734","506418"
"nlsr6","2602","62","62","81","81","729","372","1040","174","1","2602","759955"
"nlsr7","1710","32","32","54","54","485","243","694","114","2","1710","507074"
"nlsr8","1696","26","26","55","55","471","246","694","122","1","1696","507074"
"nlsr9","1680","32","32","56","56","451","245","694","112","2","1680","507074"
"nlsr10","1708","30","30","55","55","477","240","693","126","2","1708","506418"
"sum","24574","2300","2300","654","654","5855","2990","8321","1484","16","24574","6080296"
