"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","1835","500","0","9","18","130","1","116","0","60","1","116","76419","76419","0"
"nlsr1","4543","500","500","55","28","378","247","348","230","206","2","578","430655","229257","201398"
"nlsr2","3086","29","241","45","36","372","261","348","235","200","2","583","435008","229257","205751"
"nlsr3","2252","31","259","27","27","244","130","232","122","128","1","354","259607","152838","106769"
"nlsr4","1728","16","16","27","27","252","127","230","117","116","1","347","253964","151526","102438"
"nlsr5","1734","13","13","27","27","250","130","232","118","126","1","350","256133","152838","103295"
"nlsr6","2602","31","31","45","36","366","249","348","235","174","1","583","435004","229257","205747"
"nlsr7","1710","16","16","27","27","242","125","232","118","114","2","350","256162","152838","103324"
"nlsr8","1696","13","13","28","27","242","126","232","117","122","1","349","255260","152838","102422"
"nlsr9","1680","16","16","28","28","234","128","232","121","112","2","353","258695","152838","105857"
"nlsr10","1708","15","15","27","28","248","122","232","117","126","2","349","255254","152838","102416"
"sum","24574","1180","1120","345","309","2958","1646","2782","1530","1484","16","4312","3172161","1832744","1339417"
