"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1876","500","500","27","27","271","126","372","52","1","1876"
"nlsr1","4640","1000","1000","81","81","789","394","1122","172","1","4640"
"nlsr2","3194","273","273","81","81","768","390","1122","205","1","3194"
"nlsr3","2330","287","287","55","55","510","265","748","122","1","2330"
"nlsr4","1819","32","32","56","56","510","254","747","130","2","1819"
"nlsr5","1801","28","28","54","54","511","259","744","122","1","1801"
"nlsr6","2777","60","60","81","81","768","392","1116","218","1","2777"
"nlsr7","1782","32","32","54","54","503","254","744","108","1","1782"
"nlsr8","1767","28","28","51","51","497","259","744","108","1","1767"
"nlsr9","1801","30","30","54","53","500","259","744","130","1","1801"
"nlsr10","1829","30","30","54","54","508","256","744","152","1","1829"
"sum","25616","2300","2300","648","647","6135","3108","8947","1519","12","25616"
