"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1797","499","499","27","27","239","108","321","76","1","1797"
"nlsr1","4430","998","998","88","88","716","353","972","216","1","4430"
"nlsr2","3023","315","315","89","89","705","351","972","186","1","3023"
"nlsr3","2094","249","249","58","58","475","238","646","120","1","2094"
"nlsr4","1649","36","36","57","57","471","231","648","112","1","1649"
"nlsr5","1656","34","34","55","55","462","233","648","134","1","1656"
"nlsr6","2498","60","60","82","82","704","357","972","180","1","2498"
"nlsr7","1634","36","36","55","55","456","232","645","118","1","1634"
"nlsr8","1632","34","34","54","54","437","234","648","136","1","1632"
"nlsr9","1621","28","28","54","54","449","237","648","122","1","1621"
"nlsr10","1653","32","32","54","54","457","239","648","136","1","1653"
"sum","23687","2321","2321","673","673","5571","2813","7768","1536","11","23687"
