"name","LSA_interest0","LSA_interest1","LSA_interest2","LSA_interest3","LSA_interest4","LSA_interest5","LSA_interest6","LSA_interest7","LSA_interest8","LSA_interest9","LSA_interest10"
"nlsr_pc",224,215,249,236,246,273,271,295,288,298,308
"nlsr1",656,644,732,699,744,803,789,866,843,871,887
"nlsr2",646,650,723,667,749,791,768,845,815,848,850
"nlsr3",424,419,469,459,473,511,510,564,542,560,566
"nlsr4",421,430,484,438,491,531,510,575,550,561,588
"nlsr5",422,424,462,441,496,525,511,563,541,578,564
"nlsr6",619,617,689,667,672,742,768,849,809,835,847
"nlsr7",390,407,467,420,462,519,503,575,545,554,603
"nlsr8",387,397,435,424,472,513,497,547,527,573,570
"nlsr9",392,388,432,425,434,482,500,560,528,554,558
"nlsr10",401,391,450,427,440,487,508,574,554,550,560
"sum",4982,4982,5592,5303,5679,6177,6135,6813,6542,6782,6901
"ave",452.909090909091,452.909090909091,508.363636363636,482.090909090909,516.272727272727,561.545454545455,557.727272727273,619.363636363636,594.727272727273,616.545454545455,627.363636363636
"r_sum",4758,4767,5343,5067,5433,5904,5864,6518,6254,6484,6593
"r_ave",475.8,476.7,534.3,506.7,543.3,590.4,586.4,651.8,625.4,648.4,659.3
"r_sum1-6",3188,3184,3559,3371,3625,3903,3856,4262,4100,4253,4302
"r_ave1-6",531.333333333333,530.666666666667,593.166666666667,561.833333333333,604.166666666667,650.5,642.666666666667,710.333333333333,683.333333333333,708.833333333333,717
"r_sum7-10",1570,1583,1784,1696,1808,2001,2008,2256,2154,2231,2291
"r_ave7-10",392.5,395.75,446,424,452,500.25,502,564,538.5,557.75,572.75
