"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5","LSA_data6","LSA_data7","LSA_data8","LSA_data9","LSA_data10"
"nlsr_pc",102,102,113,114,116,129,126,141,135,144,146
"nlsr1",322,319,358,352,363,400,394,452,421,446,451
"nlsr2",316,321,360,350,368,400,390,451,428,453,453
"nlsr3",210,213,241,230,243,268,265,311,281,307,306
"nlsr4",201,210,242,224,245,263,254,285,279,298,297
"nlsr5",213,212,238,228,245,264,259,292,286,302,300
"nlsr6",308,318,354,346,363,398,392,472,423,455,444
"nlsr7",201,205,240,219,238,262,254,283,273,289,297
"nlsr8",211,208,230,220,240,261,259,282,280,301,295
"nlsr9",204,209,236,228,239,261,259,304,278,294,289
"nlsr10",202,212,232,227,240,264,256,311,279,292,290
"sum",2490,2529,2844,2738,2900,3170,3108,3584,3363,3581,3568
"ave",226.363636363636,229.909090909091,258.545454545455,248.909090909091,263.636363636364,288.181818181818,282.545454545455,325.818181818182,305.727272727273,325.545454545455,324.363636363636
"r_sum",2388,2427,2731,2624,2784,3041,2982,3443,3228,3437,3422
"r_ave",238.8,242.7,273.1,262.4,278.4,304.1,298.2,344.3,322.8,343.7,342.2
"r_sum1-6",1570,1593,1793,1730,1827,1993,1954,2263,2118,2261,2251
"r_ave1-6",261.666666666667,265.5,298.833333333333,288.333333333333,304.5,332.166666666667,325.666666666667,377.166666666667,353,376.833333333333,375.166666666667
"r_sum7-10",818,834,938,894,957,1048,1028,1180,1110,1176,1171
"r_ave7-10",204.5,208.5,234.5,223.5,239.25,262,257,295,277.5,294,292.75
