"name","sync0","sync1","sync2","sync3","sync4","sync5","sync6","sync7","sync8","sync9","sync10"
"nlsr_pc",301,303,339,321,345,382,372,416,405,425,429
"nlsr1",906,917,1032,978,1052,1158,1122,1257,1221,1279,1293
"nlsr2",906,918,1032,978,1045,1158,1122,1257,1224,1281,1293
"nlsr3",601,612,688,652,700,768,748,835,812,852,862
"nlsr4",604,612,688,645,681,768,747,833,814,853,860
"nlsr5",604,611,684,648,700,768,744,831,818,852,858
"nlsr6",904,918,1034,972,1054,1152,1116,1251,1214,1278,1286
"nlsr7",604,612,683,645,675,767,744,832,809,852,858
"nlsr8",603,611,684,648,700,768,744,835,811,852,856
"nlsr9",602,611,686,645,701,768,744,834,810,852,856
"nlsr10",604,612,684,648,701,768,744,834,810,851,857
"sum",7239,7337,8234,7780,8354,9225,8947,10015,9748,10227,10308
"ave",658.090909090909,667,748.545454545455,707.272727272727,759.454545454545,838.636363636364,813.363636363636,910.454545454545,886.181818181818,929.727272727273,937.090909090909
"r_sum",6938,7034,7895,7459,8009,8843,8575,9599,9343,9802,9879
"r_ave",693.8,703.4,789.5,745.9,800.9,884.3,857.5,959.9,934.3,980.2,987.9
"r_sum1-6",4525,4588,5158,4873,5232,5772,5599,6264,6103,6395,6452
"r_ave1-6",754.166666666667,764.666666666667,859.666666666667,812.166666666667,872,962,933.166666666667,1044,1017.16666666667,1065.83333333333,1075.33333333333
"r_sum7-10",2413,2446,2737,2586,2777,3071,2976,3335,3240,3407,3427
"r_ave7-10",603.25,611.5,684.25,646.5,694.25,767.75,744,833.75,810,851.75,856.75
