"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1730","500","500","27","27","215","102","303","54","2","1730"
"nlsr1","4244","1000","1000","85","85","644","319","917","192","2","4244"
"nlsr2","2867","292","292","88","88","650","321","918","216","2","2867"
"nlsr3","2032","270","270","57","57","419","213","612","132","2","2032"
"nlsr4","1558","30","30","57","57","430","210","612","130","2","1558"
"nlsr5","1543","30","30","56","56","424","212","611","122","2","1543"
"nlsr6","2323","64","64","81","81","617","318","918","178","2","2323"
"nlsr7","1524","30","30","54","54","407","205","612","130","2","1524"
"nlsr8","1494","30","30","55","55","397","208","611","106","2","1494"
"nlsr9","1490","32","32","54","54","388","209","611","108","2","1490"
"nlsr10","1503","32","32","54","54","391","212","612","114","2","1503"
"sum","22308","2310","2310","668","668","4982","2529","7337","1482","22","22308"
