"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","774","500","0","9","18","129","0","118","0","58","1","118","76990","76990","0"
"nlsr1","2307","500","500","55","28","381","250","357","236","170","1","593","438102","232968","205134"
"nlsr2","1613","34","275","45","36","363","258","357","245","168","1","602","445847","232968","212879"
"nlsr3","1036","27","225","27","27","242","127","238","123","100","1","361","262234","155312","106922"
"nlsr4","825","17","17","27","27","254","125","238","120","120","1","358","259599","155312","104287"
"nlsr5","835","17","17","27","27","254","132","238","123","112","1","361","262259","155312","106947"
"nlsr6","1331","27","27","45","36","348","251","357","240","158","1","597","441554","232968","208586"
"nlsr7","823","17","17","27","27","250","125","238","122","108","1","360","261299","155312","105987"
"nlsr8","821","17","17","27","27","248","127","236","122","116","1","358","260111","154046","106065"
"nlsr9","798","12","12","27","27","240","123","237","120","122","1","357","258977","154646","104331"
"nlsr10","803","15","15","27","27","236","124","238","121","116","1","359","260501","155312","105189"
"sum","11966","1183","1122","343","307","2945","1642","2852","1572","1348","11","4424","3227473","1861146","1366327"
