"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum0",10806,1176,1116,343,307,2620,1416,2466,1362,1352,21,3828,2780354,1600638,1179716
"sum1",11265,1183,1122,341,304,2686,1518,2651,1460,1396,13,4111,3012644,1738749,1273895
"sum2",11329,1179,1118,353,312,2750,1550,2621,1446,1344,22,4067,2945064,1696007,1249057
"sum3",11967,1180,1120,369,327,2921,1643,2835,1572,1380,11,4407,3204409,1842597,1361812
"sum4",12624,1183,1122,345,308,3135,1762,3069,1700,1430,16,4769,3472681,1997713,1474968
"sum5",12407,1180,1120,343,307,3060,1720,3005,1672,1494,20,4677,3415156,1961928,1453228
"sum6",12846,1178,1118,355,313,3165,1797,3159,1761,1368,10,4920,3589114,2060291,1528823
"sum7",13041,1180,1120,342,305,3226,1839,3233,1796,1413,22,5029,3674628,2112877,1561751
"sum8",13660,1178,1118,348,311,3377,1969,3437,1922,1467,18,5359,3863754,2211497,1652257
"sum9",13908,1178,1118,345,304,3436,2005,3539,1983,1440,27,5522,3956184,2260522,1695662
"sum10",14124,1180,1120,342,306,3559,2065,3558,1994,1268,22,5552,4001747,2288348,1713399
