"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","2010","500","500","27","27","308","146","429","72","1","2010"
"nlsr1","5033","1000","1000","84","84","887","451","1293","232","2","5033"
"nlsr2","3516","266","266","82","82","850","453","1293","222","2","3516"
"nlsr3","2574","294","294","55","55","566","306","862","140","2","2574"
"nlsr4","2042","24","24","54","54","588","297","860","140","1","2042"
"nlsr5","2015","36","36","54","54","564","300","858","112","1","2015"
"nlsr6","3075","60","60","81","81","847","444","1286","214","2","3075"
"nlsr7","2029","24","24","54","54","603","297","858","113","2","2029"
"nlsr8","2008","36","36","54","54","570","295","856","106","1","2008"
"nlsr9","1986","30","30","54","54","558","289","856","114","1","1986"
"nlsr10","2013","30","30","54","54","560","290","857","136","2","2013"
"sum","28301","2300","2300","653","653","6901","3568","10308","1601","17","28301"
