"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","825","500","0","9","18","155","0","143","0","72","1","143","93124","93124","0"
"nlsr1","2560","500","500","57","27","459","299","432","286","232","2","718","529315","281265","248050"
"nlsr2","1792","30","236","45","37","408","306","432","298","222","2","730","539649","281265","258384"
"nlsr3","1233","30","264","27","28","274","167","288","155","140","2","443","321921","187510","134411"
"nlsr4","962","12","12","27","27","298","153","287","146","140","1","433","313478","186857","126621"
"nlsr5","970","18","18","27","27","280","162","286","152","112","1","438","318027","186248","131779"
"nlsr6","1589","30","30","45","36","417","305","428","298","214","2","726","537167","278719","258448"
"nlsr7","971","12","12","27","27","310","152","286","145","113","2","431","312004","186248","125756"
"nlsr8","975","18","18","27","27","296","154","286","149","106","1","435","315438","186248","129190"
"nlsr9","957","15","15","27","27","296","147","285","145","114","1","430","311331","185595","125736"
"nlsr10","957","15","15","27","27","290","149","286","148","136","2","434","314556","186248","128308"
"sum","13791","1180","1120","345","308","3483","1994","3439","1922","1601","17","5361","3906010","2239327","1666683"
