"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum0",10402,1194,1128,356,317,2467,1334,2328,1278,1429,12,3606,2626793,1516680,1110113
"sum1",10611,1199,1132,363,323,2520,1380,2388,1306,1448,12,3694,2693646,1557842,1135804
"sum2",10601,1189,1126,350,313,2542,1393,2382,1306,1360,11,3688,2659941,1534898,1125043
"sum3",11377,1193,1128,355,318,2817,1546,2588,1432,1536,11,4020,2940420,1693068,1247352
"sum4",11777,1183,1122,346,309,2869,1613,2790,1545,1338,11,4335,3168381,1823912,1344469
"sum5",11544,1181,1120,342,306,2761,1568,2750,1516,1426,17,4266,3120788,1800068,1320720
"sum6",12777,1180,1120,342,306,3184,1793,3117,1735,1418,20,4852,3513455,2015511,1497944
"sum7",12536,1178,1118,349,310,3130,1761,3020,1670,1312,13,4690,3418606,1968366,1450240
"sum8",13133,1178,1118,342,306,3306,1885,3214,1784,1392,19,4998,3639520,2092212,1547308
"sum9",12955,1180,1120,349,309,3254,1838,3151,1754,1476,22,4905,3613825,2078041,1535784
"sum10",13460,1180,1120,350,309,3376,1900,3356,1869,1364,11,5225,3783420,2170428,1612992
