"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum0",9757,1206,1136,347,309,2264,1214,2129,1152,1360,13,3281,2380323,1382303,998020
"sum1",10234,1197,1130,341,305,2461,1309,2255,1236,1372,20,3491,2558153,1479117,1079036
"sum2",9977,1193,1128,349,310,2326,1257,2206,1208,1342,12,3414,2505117,1449492,1055625
"sum3",10746,1183,1120,354,316,2533,1400,2478,1362,1272,17,3840,2822151,1630578,1191573
"sum4",11038,1192,1126,342,306,2640,1467,2561,1404,1552,14,3965,2878956,1662895,1216061
"sum5",10824,1182,1120,350,310,2588,1428,2484,1362,1372,11,3846,2829771,1636917,1192854
"sum6",12027,1184,1122,351,309,2942,1654,2873,1592,1556,13,4465,3282660,1890563,1392097
"sum7",11935,1189,1126,342,305,2924,1651,2826,1572,1362,11,4398,3179300,1824174,1355126
"sum8",12368,1183,1122,343,305,3012,1723,3006,1674,1389,22,4680,3397417,1949533,1447884
"sum9",12351,1180,1120,345,306,3074,1729,2955,1642,1356,18,4597,3327475,1910048,1417427
"sum10",13064,1180,1120,351,312,3265,1862,3192,1782,1360,14,4974,3626118,2079483,1546635
