"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1946","499","499","27","27","284","134","397","78","1","1946"
"nlsr1","4841","998","998","83","83","839","423","1201","214","2","4841"
"nlsr2","3303","247","247","81","81","832","428","1205","180","2","3303"
"nlsr3","2489","312","312","54","54","536","289","802","128","2","2489"
"nlsr4","1920","28","28","54","54","563","287","802","102","2","1920"
"nlsr5","1916","28","28","54","54","547","287","803","114","1","1916"
"nlsr6","2880","64","64","81","81","798","430","1203","158","1","2880"
"nlsr7","1896","28","28","53","53","562","280","802","88","2","1896"
"nlsr8","1886","28","28","53","53","529","277","802","114","2","1886"
"nlsr9","1891","30","30","54","54","532","279","802","108","2","1891"
"nlsr10","1907","34","34","54","54","537","282","802","108","2","1907"
"sum","26875","2296","2296","648","648","6559","3396","9621","1392","19","26875"
