"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","1945","499","0","9","18","147","1","132","0","58","2","132","84132","84132","0"
"nlsr1","4869","499","499","55","28","444","288","402","266","192","2","668","483240","256176","227064"
"nlsr2","3435","32","261","47","38","429","291","402","274","178","2","676","490064","256176","233888"
"nlsr3","2444","28","238","28","28","284","152","268","141","138","2","409","291169","170784","120385"
"nlsr4","1952","17","17","28","29","288","148","264","135","114","2","399","283508","168264","115244"
"nlsr5","1970","15","15","30","29","286","144","268","137","136","2","405","287698","170784","116914"
"nlsr6","2952","28","28","49","38","420","287","402","273","190","2","675","489215","256176","233039"
"nlsr7","1946","17","17","29","28","280","150","266","141","126","2","407","289924","169510","120414"
"nlsr8","1927","15","15","29","28","274","150","266","139","130","2","405","288157","169538","118619"
"nlsr9","1926","14","14","27","27","288","144","268","138","122","2","406","288585","170784","117801"
"nlsr10","1934","14","14","27","27","282","145","268","138","128","2","406","288603","170784","117819"
"sum","27300","1178","1118","358","318","3422","1900","3206","1782","1512","22","4988","3564295","2043108","1521187"
