"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","1945","499","499","27","27","295","139","399","58","2","1945","283056"
"nlsr1","4869","998","998","83","83","876","437","1200","192","2","4869","851051"
"nlsr2","3435","293","293","85","85","864","433","1202","178","2","3435","852325"
"nlsr3","2444","266","266","56","56","572","287","801","138","2","2444","567995"
"nlsr4","1952","34","34","57","57","570","287","797","114","2","1952","565475"
"nlsr5","1970","30","30","59","59","566","287","801","136","2","1970","568009"
"nlsr6","2952","56","56","88","87","847","423","1203","190","2","2952","852948"
"nlsr7","1946","34","34","57","57","551","287","798","126","2","1946","566098"
"nlsr8","1927","30","30","57","57","537","285","799","130","2","1927","566749"
"nlsr9","1926","28","28","54","54","558","279","801","122","2","1926","567995"
"nlsr10","1934","28","28","54","54","561","277","802","128","2","1934","568632"
"sum","27300","2296","2296","677","676","6797","3421","9603","1512","22","27300","6810333"
