"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1831","500","500","28","27","248","119","348","60","1","1831"
"nlsr1","4501","1000","1000","81","81","727","367","1050","194","1","4501"
"nlsr2","3085","316","316","81","81","718","372","1050","150","1","3085"
"nlsr3","2146","245","245","55","55","469","244","700","132","1","2146"
"nlsr4","1701","30","30","56","56","489","249","694","96","1","1701"
"nlsr5","1695","36","36","56","56","475","243","696","96","1","1695"
"nlsr6","2553","56","56","82","82","696","364","1044","172","1","2553"
"nlsr7","1715","30","30","54","54","487","247","696","116","1","1715"
"nlsr8","1669","36","36","54","54","454","238","696","100","1","1669"
"nlsr9","1652","28","28","54","54","447","241","695","104","1","1652"
"nlsr10","1679","28","28","54","54","462","238","696","118","1","1679"
"sum","24227","2305","2305","655","654","5672","2922","8365","1338","11","24227"
