"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum0",9184,1191,1126,354,316,2084,1105,1954,1054,1424,13,3008,2177981,1265878,912103
"sum1",9417,1200,1132,344,307,2135,1165,2038,1096,1414,11,3134,2290847,1334355,956492
"sum2",10228,1194,1128,343,308,2424,1300,2281,1250,1446,22,3531,2592998,1499633,1093365
"sum3",10914,1190,1126,349,311,2598,1460,2504,1376,1448,11,3880,2803664,1616818,1186846
"sum4",11317,1192,1128,345,307,2723,1511,2651,1460,1448,22,4111,2999643,1730105,1269538
"sum5",11691,1178,1118,349,311,2836,1592,2777,1530,1615,14,4307,3144234,1813641,1330593
"sum6",11163,1178,1118,341,305,2695,1492,2602,1432,1412,11,4034,2960617,1709228,1251389
"sum7",11629,1184,1122,351,312,2861,1588,2709,1502,1332,11,4211,3096038,1782405,1313633
"sum8",12307,1180,1120,349,311,3048,1703,2954,1642,1426,22,4596,3377217,1942394,1434823
"sum9",12588,1176,1116,342,306,3136,1747,3063,1702,1424,16,4765,3423461,1963678,1459783
"sum10",12949,1180,1120,344,307,3200,1823,3189,1786,1426,20,4975,3593956,2055959,1537997
