"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1980","500","500","27","26","305","141","414","66","1","1980"
"nlsr1","4909","1000","1000","82","82","888","437","1247","172","1","4909"
"nlsr2","3396","265","265","81","81","861","444","1248","150","1","3396"
"nlsr3","2507","295","295","54","54","570","295","833","110","1","2507"
"nlsr4","1973","28","28","54","54","574","297","829","108","1","1973"
"nlsr5","1955","32","32","54","54","563","291","832","96","1","1955"
"nlsr6","2983","60","60","81","81","833","432","1251","184","1","2983"
"nlsr7","1972","28","28","54","54","561","292","831","122","2","1972"
"nlsr8","1927","32","32","54","54","540","287","829","98","1","1927"
"nlsr9","1941","30","30","54","53","549","283","833","108","1","1941"
"nlsr10","1969","30","30","53","52","545","284","834","140","1","1969"
"sum","27512","2300","2300","648","645","6789","3483","9981","1354","12","27512"
