"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","782","500","0","8","18","132","0","124","0","58","2","124","80958","80958","0"
"nlsr1","2367","500","500","54","27","399","259","378","250","190","1","628","464075","246750","217325"
"nlsr2","1631","31","237","45","36","375","272","378","257","196","2","635","470135","246750","223385"
"nlsr3","1119","29","263","27","27","256","134","252","131","108","2","383","278293","164500","113793"
"nlsr4","857","16","16","27","27","260","134","250","127","124","2","377","273643","163238","110405"
"nlsr5","851","15","15","28","27","254","133","250","129","136","2","379","275395","163238","112157"
"nlsr6","1412","29","29","46","38","378","261","375","256","166","2","631","467339","244860","222479"
"nlsr7","849","16","16","27","27","248","133","250","132","134","2","382","277947","163238","114709"
"nlsr8","849","15","15","27","27","252","132","250","131","132","1","381","277112","163238","113874"
"nlsr9","846","15","15","27","27","252","132","248","130","126","2","378","274922","161918","113004"
"nlsr10","844","14","14","27","26","254","130","250","129","124","2","379","275337","163240","112097"
"sum","12407","1180","1120","343","307","3060","1720","3005","1672","1494","20","4677","3415156","1961928","1453228"
