"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","829","500","0","8","17","156","0","148","0","58","2","148","95188","95188","0"
"nlsr1","2599","500","500","54","28","465","309","447","296","184","2","743","541803","287457","254346"
"nlsr2","1858","31","234","45","36","432","324","447","309","154","2","756","552966","287457","265509"
"nlsr3","1260","29","266","27","27","292","164","296","159","116","2","455","327011","190376","136635"
"nlsr4","1000","18","18","27","27","292","165","296","157","88","2","453","325292","190376","134916"
"nlsr5","985","13","13","27","27","300","157","296","152","100","2","448","320997","190376","130621"
"nlsr6","1645","29","29","46","37","432","320","444","308","160","2","752","550195","285564","264631"
"nlsr7","990","18","18","27","27","288","161","296","155","92","2","451","323585","190376","133209"
"nlsr8","975","13","13","27","27","296","152","296","151","108","2","447","320138","190376","129762"
"nlsr9","994","14","14","27","27","306","158","296","152","98","2","448","320983","190376","130607"
"nlsr10","989","15","15","27","26","300","155","296","155","110","2","451","323589","190426","133163"
"sum","14124","1180","1120","342","306","3559","2065","3558","1994","1268","22","5552","4001747","2288348","1713399"
