"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1903","499","499","25","25","284","131","384","55","1","1903"
"nlsr1","4711","998","998","81","81","831","407","1152","162","1","4711"
"nlsr2","3280","298","298","81","81","784","414","1153","170","1","3280"
"nlsr3","2327","261","261","54","54","550","276","768","102","1","2327"
"nlsr4","1865","32","32","54","54","529","275","768","120","1","1865"
"nlsr5","1844","34","34","54","54","520","272","768","107","1","1844"
"nlsr6","2825","54","54","82","82","819","425","1152","156","1","2825"
"nlsr7","1850","32","32","54","54","528","269","770","110","1","1850"
"nlsr8","1813","34","34","54","54","506","262","766","102","1","1813"
"nlsr9","1856","26","26","54","54","534","277","768","116","1","1856"
"nlsr10","1846","28","28","54","54","548","279","768","86","1","1846"
"sum","26120","2296","2296","647","647","6433","3287","9217","1286","11","26120"
