"name","sync_len0","sync_len1","sync_len2","sync_len3","sync_len4","sync_len5"
"nlsr_pc",28750,93720,84132,76419,61839,98869
"nlsr1",161510,536726,483240,430655,355995,560039
"nlsr2",165727,544451,490064,435008,355995,573125
"nlsr3",103353,318436,291169,259607,209551,342458
"nlsr4",99859,321082,283508,253964,208281,333304
"nlsr5",95484,318437,287698,256133,209551,338461
"nlsr6",179243,540002,489215,435004,355995,572259
"nlsr7",89535,323198,289924,256162,213036,333308
"nlsr8",91262,323227,288157,255260,214718,337585
"nlsr9",108109,322329,288585,258695,213872,335529
"nlsr10",117377,323193,288603,255254,209137,336603
"sum",1240209,3964801,3564295,3172161,2607970,4161540
"ave",112746.272727273,360436.454545455,324026.818181818,288378.272727273,237088.181818182,378321.818181818
"r_sum",1211459,3871081,3480163,3095742,2546131,4062671
"r_ave",121145.9,387108.1,348016.3,309574.2,254613.1,406267.1
