"name","sync_interest0","sync_interest1","sync_interest2","sync_interest3","sync_interest4","sync_interest5"
"nlsr_pc",38,145,132,116,95,152
"nlsr1",129,441,402,348,291,456
"nlsr2",114,441,402,348,291,459
"nlsr3",76,294,268,232,194,304
"nlsr4",80,294,264,230,192,306
"nlsr5",84,294,268,232,194,306
"nlsr6",135,438,402,348,291,456
"nlsr7",72,292,266,232,194,306
"nlsr8",80,292,266,232,194,306
"nlsr9",86,292,268,232,194,304
"nlsr10",94,292,268,232,192,303
"sum",988,3515,3206,2782,2322,3658
"ave",89.8181818181818,319.545454545455,291.454545454545,252.909090909091,211.090909090909,332.545454545455
"r_sum",950,3370,3074,2666,2227,3506
"r_ave",95,337,307.4,266.6,222.7,350.6
