"name","sync_len0","sync_len1","sync_len2","sync_len3","sync_len4","sync_len5"
"nlsr_pc",88555,312507,283056,253537,206167,329453
"nlsr1",299106,947538,851051,760611,628653,988992
"nlsr2",308227,947538,852325,759955,628653,995810
"nlsr3",206658,631692,567995,507074,419102,659788
"nlsr4",199682,631692,565475,505106,417197,661663
"nlsr5",190829,631077,568009,506418,419102,665694
"nlsr6",345719,943752,852948,759955,628018,990359
"nlsr7",184321,629168,566098,507074,418467,661434
"nlsr8",176096,629168,566749,507074,419102,662292
"nlsr9",213402,628553,567995,507074,419102,659787
"nlsr10",228324,628553,568632,506418,416570,658499
"sum",2440919,7561238,6810333,6080296,5020133,7933771
"ave",221901.727272727,687385.272727273,619121.181818182,552754.181818182,456375.727272727,721251.909090909
"r_sum",2352364,7248731,6527277,5826759,4813966,7604318
"r_ave",235236.4,724873.1,652727.7,582675.9,481396.6,760431.8
