"name","sync_data0","sync_data1","sync_data2","sync_data3","sync_data4","sync_data5"
"nlsr_pc",5,0,0,0,0,0
"nlsr1",91,292,266,230,192,304
"nlsr2",107,301,274,235,192,317
"nlsr3",63,149,141,122,96,167
"nlsr4",56,152,135,117,96,155
"nlsr5",48,149,137,118,96,161
"nlsr6",107,298,273,235,192,318
"nlsr7",50,156,141,118,100,155
"nlsr8",46,156,139,117,102,160
"nlsr9",61,155,138,121,101,159
"nlsr10",66,156,138,117,97,161
"sum",700,1964,1782,1530,1264,2057
"ave",63.6363636363636,178.545454545455,162,139.090909090909,114.909090909091,187
"r_sum",695,1964,1782,1530,1264,2057
"r_ave",69.5,196.4,178.2,153,126.4,205.7
