"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5"
"nlsr_pc",0,1,1,1,1,0
"nlsr1",59,320,288,247,208,318
"nlsr2",59,326,291,261,199,338
"nlsr3",29,170,152,130,102,171
"nlsr4",29,162,148,127,100,161
"nlsr5",29,159,144,130,107,166
"nlsr6",65,321,287,249,203,328
"nlsr7",29,163,150,125,107,160
"nlsr8",33,165,150,126,109,165
"nlsr9",33,166,144,128,107,165
"nlsr10",34,165,145,122,98,167
"sum",399,2118,1900,1646,1341,2139
"ave",36.2727272727273,192.545454545455,172.727272727273,149.636363636364,121.909090909091,194.454545454545
"r_sum",399,2117,1899,1645,1340,2139
"r_ave",39.9,211.7,189.9,164.5,134,213.9
