"name","sync0","sync1","sync2","sync3","sync4","sync5"
"nlsr_pc",123,435,399,347,285,456
"nlsr1",409,1320,1200,1041,870,1369
"nlsr2",418,1320,1202,1040,870,1378
"nlsr3",281,880,801,694,580,913
"nlsr4",271,880,797,691,577,916
"nlsr5",262,879,801,693,580,921
"nlsr6",468,1314,1203,1040,869,1370
"nlsr7",249,876,798,694,579,916
"nlsr8",243,876,799,694,580,917
"nlsr9",289,875,801,694,580,913
"nlsr10",309,875,802,693,576,911
"sum",3322,10530,9603,8321,6946,10980
"ave",302,957.272727272727,873,756.454545454545,631.454545454545,998.181818181818
"r_sum",3199,10095,9204,7974,6661,10524
"r_ave",319.9,1009.5,920.4,797.4,666.1,1052.4
