"name","sync_interest_len0","sync_interest_len1","sync_interest_len2","sync_interest_len3","sync_interest_len4","sync_interest_len5"
"nlsr_pc",24459,93720,84132,76419,61839,98869
"nlsr1",82893,284898,256176,229257,189321,296607
"nlsr2",73254,284898,256176,229257,189321,298500
"nlsr3",49030,189932,170784,152838,126214,197738
"nlsr4",51486,189932,168264,151526,124944,199000
"nlsr5",54052,189932,170784,152838,126214,198982
"nlsr6",86802,283005,256176,229257,189321,296661
"nlsr7",46268,188670,169510,152838,126214,199000
"nlsr8",51528,188670,169538,152838,126214,199010
"nlsr9",55426,188670,170784,152838,126214,197738
"nlsr10",60406,188670,170784,152838,124948,197094
"sum",635604,2270997,2043108,1832744,1510764,2379199
"ave",57782.1818181818,206454.272727273,185737.090909091,166613.090909091,137342.181818182,216290.818181818
"r_sum",611145,2177277,1958976,1756325,1448925,2280330
"r_ave",61114.5,217727.7,195897.6,175632.5,144892.5,228033
