"name","sync_data0","sync_data1","sync_data2","sync_data3","sync_data4","sync_data5"
"nlsr_pc",0,0,0,0,0,0
"nlsr1",178,364,303,297,192,373
"nlsr2",170,370,303,301,186,396
"nlsr3",104,223,184,180,125,235
"nlsr4",160,347,280,281,176,366
"nlsr5",165,354,294,295,182,376
"nlsr6",208,429,345,354,227,438
"nlsr7",80,172,140,141,88,184
"nlsr8",80,178,144,141,88,184
"nlsr9",80,178,142,140,88,181
"nlsr10",177,387,313,316,192,407
"nlsr11",121,240,207,199,136,259
"nlsr12",80,177,143,141,89,184
"nlsr13",80,183,144,140,90,184
"nlsr14",80,179,145,141,90,181
"nlsr15",186,397,330,319,208,411
"sum",1949,4178,3417,3386,2157,4359
"ave",121.8125,261.125,213.5625,211.625,134.8125,272.4375
"r_sum",1949,4178,3417,3386,2157,4359
"r_ave",129.933333333333,278.533333333333,227.8,225.733333333333,143.8,290.6
