"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5"
"nlsr_pc",81,170,142,139,95,181
"nlsr1",312,594,499,485,343,630
"nlsr2",309,569,496,479,334,623
"nlsr3",243,510,397,404,273,490
"nlsr4",264,530,438,442,294,554
"nlsr5",315,600,518,510,335,655
"nlsr6",404,851,663,700,436,821
"nlsr7",178,352,287,293,196,367
"nlsr8",178,351,290,285,186,363
"nlsr9",177,354,297,292,186,369
"nlsr10",376,762,638,649,415,811
"nlsr11",266,545,438,436,291,553
"nlsr12",167,344,283,285,189,362
"nlsr13",178,345,286,277,181,357
"nlsr14",168,344,288,282,184,358
"nlsr15",340,692,574,556,373,735
"sum",3956,7913,6534,6514,4311,8229
"ave",247.25,494.5625,408.375,407.125,269.4375,514.3125
"r_sum",3875,7743,6392,6375,4216,8048
"r_ave",258.333333333333,516.2,426.133333333333,425,281.066666666667,536.533333333333
