"name","sync0","sync1","sync2","sync3","sync4","sync5"
"nlsr_pc",79,168,138,136,88,176
"nlsr1",421,874,723,711,459,904
"nlsr2",413,880,723,715,453,927
"nlsr3",266,563,464,456,303,589
"nlsr4",403,857,700,695,443,897
"nlsr5",408,862,714,709,449,907
"nlsr6",451,939,765,768,494,969
"nlsr7",242,512,418,417,266,538
"nlsr8",242,516,420,417,264,538
"nlsr9",242,516,420,416,264,535
"nlsr10",420,894,730,730,456,938
"nlsr11",283,578,485,475,312,613
"nlsr12",242,515,421,415,265,538
"nlsr13",242,521,422,415,266,538
"nlsr14",242,517,423,417,266,535
"nlsr15",429,904,747,730,472,942
"sum",5025,10616,8713,8622,5520,11084
"ave",314.0625,663.5,544.5625,538.875,345,692.75
"r_sum",4946,10448,8575,8486,5432,10908
"r_ave",329.733333333333,696.533333333333,571.666666666667,565.733333333333,362.133333333333,727.2
