"name","sync0","sync1","sync2","sync3","sync4","sync5"
"nlsr_pc",237,505,415,410,264,528
"nlsr1",789,1634,1356,1325,864,1698
"nlsr2",767,1584,1320,1290,835,1667
"nlsr3",569,1198,981,980,637,1232
"nlsr4",727,1528,1255,1239,798,1594
"nlsr5",758,1602,1319,1303,833,1684
"nlsr6",895,1873,1530,1535,988,1934
"nlsr7",484,1018,832,826,532,1062
"nlsr8",483,1017,830,826,528,1062
"nlsr9",484,1014,832,826,528,1062
"nlsr10",830,1769,1436,1434,908,1838
"nlsr11",603,1232,1032,1014,659,1295
"nlsr12",484,1013,832,825,528,1061
"nlsr13",484,1016,832,824,528,1062
"nlsr14",484,1014,831,825,528,1062
"nlsr15",810,1697,1403,1375,890,1779
"sum",9888,20714,17036,16857,10848,21620
"ave",618,1294.625,1064.75,1053.5625,678,1351.25
"r_sum",9651,20209,16621,16447,10584,21092
"r_ave",643.4,1347.26666666667,1108.06666666667,1096.46666666667,705.6,1406.13333333333
