"name","sync_len0","sync_len1","sync_len2","sync_len3","sync_len4","sync_len5"
"nlsr_pc",201901,427625,351669,348881,222508,466884
"nlsr1",680754,1397887,1163170,1139108,737302,1515672
"nlsr2",658805,1349107,1127476,1104227,708701,1484162
"nlsr3",496733,1039410,851763,855732,551757,1113670
"nlsr4",618982,1293044,1062927,1053618,672126,1409387
"nlsr5",649869,1366896,1126374,1117260,706693,1501849
"nlsr6",786521,1634783,1335678,1348349,859860,1758934
"nlsr7",411988,861374,704886,702629,448084,938954
"nlsr8",411209,861254,703338,702412,445016,939358
"nlsr9",411988,858533,704886,702412,445016,938934
"nlsr10",721751,1533115,1243656,1247860,782028,1660331
"nlsr11",530650,1074300,903300,889526,574498,1178283
"nlsr12",411988,857542,704886,702077,445016,938126
"nlsr13",411988,860276,704886,700874,445016,939145
"nlsr14",411988,858306,704112,701634,445016,938934
"nlsr15",701783,1461799,1210999,1190429,764281,1599450
"sum",8518898,17735251,14604006,14507028,9252918,19322073
"ave",532431.125,1108453.1875,912750.375,906689.25,578307.375,1207629.5625
"r_sum",8316997,17307626,14252337,14158147,9030410,18855189
"r_ave",554466.466666667,1153841.73333333,950155.8,943876.466666667,602027.333333333,1257012.6
