"name","sync_interest_len0","sync_interest_len1","sync_interest_len2","sync_interest_len3","sync_interest_len4","sync_interest_len5"
"nlsr_pc",61563,130109,107006,105894,67788,142968
"nlsr1",189327,394920,325641,322323,205665,431235
"nlsr2",189327,394920,325641,322323,205665,431235
"nlsr3",126218,263280,217094,214882,137110,287490
"nlsr4",189327,394920,325641,322323,205665,431235
"nlsr5",189327,393407,325641,322323,205665,431235
"nlsr6",189327,394920,325641,322380,205665,431199
"nlsr7",126218,263280,215560,214882,137110,287490
"nlsr8",126218,261746,214012,214882,135576,287490
"nlsr9",126218,261746,215560,214882,135576,287490
"nlsr10",189327,392619,323340,322380,203364,431235
"nlsr11",126218,261746,215560,214920,135576,287490
"nlsr12",126218,261746,215560,213336,135576,287490
"nlsr13",126218,261750,215560,214113,135576,287476
"nlsr14",126218,261746,215560,214882,135576,287490
"nlsr15",189327,392619,323340,320046,203364,431217
"sum",2396596,4985474,4106357,4076771,2590517,5461465
"ave",149787.25,311592.125,256647.3125,254798.1875,161907.3125,341341.5625
"r_sum",2335033,4855365,3999351,3970877,2522729,5318497
"r_ave",155668.866666667,323691,266623.4,264725.133333333,168181.933333333,354566.466666667
