"name","sync_data_len0","sync_data_len1","sync_data_len2","sync_data_len3","sync_data_len4","sync_data_len5"
"nlsr_pc",0,0,0,0,0,0
"nlsr1",177495,360546,300601,295425,189675,383461
"nlsr2",169507,366533,300501,299525,183788,406932
"nlsr3",103702,220716,182484,179214,123417,241473
"nlsr4",159552,343780,277725,279588,173864,376293
"nlsr5",164496,350700,291608,293542,179778,386462
"nlsr6",207408,424979,342198,352277,224271,450241
"nlsr7",79776,170398,138884,140258,86932,189198
"nlsr8",79776,176316,142764,140308,86932,189174
"nlsr9",79776,176272,140849,139329,86932,186072
"nlsr10",176540,383260,310390,314402,189634,418494
"nlsr11",120677,237763,205349,198031,134432,266059
"nlsr12",79776,175284,141860,140300,87925,189196
"nlsr13",79776,181313,142754,139296,88932,189200
"nlsr14",79776,177262,143844,140323,88921,186074
"nlsr15",185486,393258,327278,317453,205405,422494
"sum",1943519,4138380,3389089,3369271,2130838,4480823
"ave",121469.9375,258648.75,211818.0625,210579.4375,133177.375,280051.4375
"r_sum",1943519,4138380,3389089,3369271,2130838,4480823
"r_ave",129567.933333333,275892,225939.266666667,224618.066666667,142055.866666667,298721.533333333
