"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","237","100","100","7","7","0","0","9","14","0","237"
"nlsr1","541","200","200","26","26","0","0","32","56","1","541"
"nlsr2","270","75","75","23","23","0","0","27","46","1","270"
"nlsr3","245","77","77","16","16","0","0","18","40","1","245"
"nlsr4","121","26","26","13","13","0","0","18","24","1","121"
"nlsr5","121","26","26","13","13","0","0","18","24","1","121"
"nlsr6","225","52","52","19","19","0","0","28","54","1","225"
"nlsr7","116","26","26","12","12","0","0","19","20","1","116"
"nlsr8","123","26","26","12","12","0","0","19","28","0","123"
"nlsr9","132","26","26","14","14","0","0","16","36","0","132"
"nlsr10","129","26","26","14","14","0","0","17","32","0","129"
"sum","2260","660","660","169","169","0","0","221","374","7","2260"
