"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1933","500","500","27","27","283","133","393","68","2","1933"
"nlsr1","4816","1000","1000","86","86","828","417","1185","212","2","4816"
"nlsr2","3341","289","289","85","85","798","420","1185","188","2","3341"
"nlsr3","2393","271","271","55","55","540","283","790","126","2","2393"
"nlsr4","1877","34","34","54","54","538","272","787","102","2","1877"
"nlsr5","1901","30","30","54","54","527","278","786","140","2","1901"
"nlsr6","2856","56","56","81","81","809","417","1178","176","2","2856"
"nlsr7","1863","34","34","54","54","534","271","784","96","2","1863"
"nlsr8","1887","30","30","54","54","518","275","786","138","2","1887"
"nlsr9","1841","24","24","54","54","525","270","786","102","2","1841"
"nlsr10","1897","32","32","54","54","537","272","786","128","2","1897"
"sum","26605","2300","2300","658","658","6437","3308","9446","1476","22","26605"
