"name","sync_len0","sync_len1","sync_len2","sync_len3","sync_len4","sync_len5"
"nlsr_pc",43861,153930,93000,87804,82730,100650
"nlsr1",255754,632845,434878,408114,374425,482064
"nlsr2",255754,636606,436354,413381,374425,492712
"nlsr3",255754,642700,441017,413414,374425,491179
"nlsr4",150072,372247,258124,242418,219696,291113
"nlsr5",150072,375094,258811,241652,222009,285063
"nlsr6",149014,379544,257803,237276,223486,287009
"nlsr7",149014,379685,261181,240283,223500,284995
"sum",1409295,3572651,2441168,2284342,2094696,2714785
"ave",176161.875,446581.375,305146,285542.75,261837,339348.125
"r_sum",1365434,3418721,2348168,2196538,2011966,2614135
"r_ave",195062,488388.714285714,335452.571428571,313791.142857143,287423.714285714,373447.857142857
