"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5"
"nlsr_pc",81,193,137,129,116,157
"nlsr1",265,614,437,416,384,501
"nlsr2",267,610,444,415,387,488
"nlsr3",262,607,435,418,392,504
"nlsr4",165,394,285,269,246,313
"nlsr5",167,399,284,269,247,318
"nlsr6",170,394,283,269,254,317
"nlsr7",169,393,279,265,250,323
"sum",1546,3604,2584,2450,2276,2921
"ave",193.25,450.5,323,306.25,284.5,365.125
"r_sum",1465,3411,2447,2321,2160,2764
"r_ave",209.285714285714,487.285714285714,349.571428571429,331.571428571429,308.571428571429,394.857142857143
