"name","sync0","sync1","sync2","sync3","sync4","sync5"
"nlsr_pc",80,258,159,152,141,175
"nlsr1",403,999,680,648,588,763
"nlsr2",403,1003,682,655,588,777
"nlsr3",403,1011,688,655,588,775
"nlsr4",242,600,412,393,353,469
"nlsr5",242,604,413,392,356,461
"nlsr6",240,610,411,385,358,463
"nlsr7",240,610,416,389,358,460
"sum",2253,5695,3861,3669,3330,4343
"ave",281.625,711.875,482.625,458.625,416.25,542.875
"r_sum",2173,5437,3702,3517,3189,4168
"r_ave",310.428571428571,776.714285714286,528.857142857143,502.428571428571,455.571428571429,595.428571428571
