"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","2054","499","499","29","29","318","153","456","70","1","2054","329453"
"nlsr1","5153","998","998","87","87","922","484","1369","206","2","5153","988992"
"nlsr2","3724","273","273","86","86","914","499","1378","214","1","3724","995810"
"nlsr3","2619","286","286","59","59","590","319","913","106","1","2619","659788"
"nlsr4","2160","24","24","59","59","629","320","916","128","1","2160","661663"
"nlsr5","2182","32","32","59","59","613","323","921","142","1","2182","665694"
"nlsr6","3192","64","64","89","89","887","478","1370","150","1","3192","990359"
"nlsr7","2143","24","24","59","59","627","311","916","122","1","2143","661434"
"nlsr8","2133","32","32","57","57","612","311","917","114","1","2133","662292"
"nlsr9","2123","30","30","60","59","591","315","913","124","1","2123","659787"
"nlsr10","2112","34","34","57","57","600","312","911","106","1","2112","658499"
"sum","29595","2296","2296","701","700","7303","3825","10980","1482","12","29595","7933771"
