"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","2054","499","0","10","19","161","0","152","0","70","1","152","98869","98869","0"
"nlsr1","5153","499","499","57","30","471","318","456","304","206","2","760","560039","296607","263432"
"nlsr2","3724","28","245","47","39","441","338","459","317","214","1","776","573125","298500","274625"
"nlsr3","2619","32","254","30","29","288","171","304","167","106","1","471","342458","197738","144720"
"nlsr4","2160","12","12","30","29","322","161","306","155","128","1","461","333304","199000","134304"
"nlsr5","2182","16","16","30","29","310","166","306","161","142","1","467","338461","198982","139479"
"nlsr6","3192","32","32","50","39","435","328","456","318","150","1","774","572259","296661","275598"
"nlsr7","2143","12","12","30","29","322","160","306","155","122","1","461","333308","199000","134308"
"nlsr8","2133","16","16","29","28","312","165","306","160","114","1","466","337585","199010","138575"
"nlsr9","2123","15","15","30","30","306","165","304","159","124","1","463","335529","197738","137791"
"nlsr10","2112","17","17","29","28","310","167","303","161","106","1","464","336603","197094","139509"
"sum","29595","1178","1118","372","329","3678","2139","3658","2057","1482","12","5715","4161540","2379199","1782341"
