"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"sum0",9267,1210,1138,367,326,2133,1122,1931,1040,1535,12,2971,2159394,1256154,903240
"sum1",9478,1208,1138,354,313,2211,1166,2006,1082,1298,12,3088,2208635,1281749,926886
"sum2",10314,1198,1132,348,308,2479,1341,2270,1238,1462,22,3508,2568419,1488284,1080135
"sum3",10524,1202,1134,341,305,2523,1360,2367,1292,1350,30,3659,2658982,1538573,1120409
"sum4",10844,1189,1126,358,316,2544,1439,2496,1376,1560,12,3872,2801498,1613295,1188203
"sum5",11205,1187,1124,348,311,2729,1499,2589,1418,1510,22,4007,2876284,1659549,1216735
"sum6",11283,1183,1118,355,315,2689,1510,2653,1460,1405,11,4113,3012247,1738887,1273360
"sum7",12030,1178,1118,350,312,2953,1659,2874,1586,1526,12,4460,3233072,1861775,1371297
"sum8",11894,1186,1124,353,314,2871,1637,2837,1572,1350,15,4409,3219828,1852997,1366831
"sum9",12455,1178,1118,343,306,3066,1726,3034,1684,1417,20,4718,3445708,1981448,1464260
"sum10",12525,1180,1120,342,306,3038,1745,3082,1712,1382,12,4794,3469045,1992294,1476751
