"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum","sync_len"
"nlsr_pc","1968","500","500","30","30","291","142","415","58","2","1968","351669"
"nlsr1","5103","1000","1000","99","99","864","499","1356","184","2","5103","1163170"
"nlsr2","4179","560","560","98","97","834","496","1320","212","2","4179","1127476"
"nlsr3","2201","0","0","64","64","581","397","981","112","2","2201","851763"
"nlsr4","3019","58","58","94","94","846","438","1255","174","2","3019","1062927"
"nlsr5","3180","62","62","91","91","832","518","1319","203","2","3180","1126374"
"nlsr6","3420","0","0","91","91","867","663","1530","176","2","3420","1335678"
"nlsr7","1980","28","28","61","61","571","287","832","110","2","1980","704886"
"nlsr8","1989","30","30","61","61","553","290","830","132","2","1989","703338"
"nlsr9","1990","32","32","60","60","553","297","832","122","2","1990","704886"
"nlsr10","3343","30","30","91","91","847","638","1436","178","2","3343","1243656"
"nlsr11","2304","0","0","60","60","572","438","1032","140","2","2304","903300"
"nlsr12","1973","28","28","60","60","558","283","832","122","2","1973","704886"
"nlsr13","1975","30","30","60","60","529","286","832","146","2","1975","704886"
"nlsr14","1947","32","32","59","59","532","288","831","112","2","1947","704112"
"nlsr15","3257","30","30","90","90","826","574","1403","212","2","3257","1210999"
"sum","43828","2420","2420","1169","1168","10656","6534","17036","2393","32","43828","14604006"
