"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1846","500","500","26","26","249","116","350","78","1","1846"
"nlsr1","4545","1000","1000","83","82","733","365","1059","222","1","4545"
"nlsr2","3047","295","295","81","81","710","369","1053","162","1","3047"
"nlsr3","2195","264","264","54","54","479","245","700","134","1","2195"
"nlsr4","1680","28","28","54","54","479","246","702","88","1","1680"
"nlsr5","1704","32","32","54","54","472","243","702","114","1","1704"
"nlsr6","2594","58","58","81","81","711","379","1053","172","1","2594"
"nlsr7","1674","28","28","54","54","474","241","702","92","1","1674"
"nlsr8","1705","32","32","55","54","453","244","702","132","1","1705"
"nlsr9","1674","26","26","54","54","453","244","702","114","1","1674"
"nlsr10","1704","32","32","54","54","476","250","701","104","1","1704"
"sum","24368","2295","2295","650","648","5689","2942","8426","1412","11","24368"
