"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","2043","500","500","27","27","315","152","453","68","1","2043"
"nlsr1","5111","1000","1000","81","81","927","467","1374","180","1","5111"
"nlsr2","3594","252","252","83","83","900","462","1374","186","2","3594"
"nlsr3","2662","308","308","56","56","593","318","916","106","1","2662"
"nlsr4","2109","30","30","55","55","595","310","916","116","2","2109"
"nlsr5","2116","28","28","54","54","598","309","916","128","1","2116"
"nlsr6","3189","62","62","81","81","880","472","1374","176","1","3189"
"nlsr7","2071","30","30","54","54","584","307","912","98","2","2071"
"nlsr8","2078","28","28","54","54","586","306","912","108","2","2078"
"nlsr9","2098","32","32","54","54","583","311","915","116","1","2098"
"nlsr10","2081","30","30","54","54","585","309","914","104","1","2081"
"sum","29152","2300","2300","653","653","7146","3723","10976","1386","15","29152"
