"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1779","500","500","27","27","237","109","328","50","1","1779"
"nlsr1","4359","1000","1000","83","83","706","337","987","162","1","4359"
"nlsr2","2997","289","289","85","85","701","356","987","204","1","2997"
"nlsr3","2094","271","271","54","54","457","224","658","104","1","2094"
"nlsr4","1650","30","30","55","55","465","234","658","122","1","1650"
"nlsr5","1663","32","32","57","57","456","234","656","138","1","1663"
"nlsr6","2446","58","58","81","81","662","340","987","178","1","2446"
"nlsr7","1615","30","30","54","54","449","227","658","112","1","1615"
"nlsr8","1612","32","32","54","54","428","229","658","124","1","1612"
"nlsr9","1567","28","28","53","53","415","225","658","106","1","1567"
"nlsr10","1609","30","30","54","53","429","225","658","128","2","1609"
"sum","23391","2300","2300","657","656","5405","2740","7893","1428","12","23391"
