"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync_interest","sync_data","arp","other","sync","sync_len","sync_interest_len","sync_data_len"
"nlsr_pc","744","500","0","10","18","115","1","100","0","52","1","100","64789","64789","0"
"nlsr1","2130","500","500","56","28","327","216","303","200","177","1","503","369372","196332","173040"
"nlsr2","1413","33","263","47","38","324","205","303","200","194","2","503","369372","196332","173040"
"nlsr3","937","28","237","28","28","212","103","201","100","116","1","301","216753","130233","86520"
"nlsr4","709","18","18","28","28","214","101","202","100","118","1","302","217408","130888","86520"
"nlsr5","707","15","15","28","29","212","106","202","100","110","1","302","217408","130888","86520"
"nlsr6","1162","28","28","50","39","312","204","301","200","188","1","501","368062","195022","173040"
"nlsr7","709","18","18","29","28","198","108","202","108","110","1","310","224357","130888","93469"
"nlsr8","707","15","15","29","28","204","110","202","104","94","1","306","220853","130888","89965"
"nlsr9","697","14","14","29","28","202","105","201","104","128","1","305","220185","130233","89952"
"nlsr10","695","14","14","29","28","200","104","202","104","114","1","306","220786","130888","89898"
"sum","10610","1183","1122","363","320","2520","1363","2419","1320","1401","12","3739","2709345","1567381","1141964"
