"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1825","500","500","30","30","242","117","353","52","1","1825"
"nlsr1","4629","1000","1000","86","86","724","415","1145","172","1","4629"
"nlsr2","3680","560","560","85","82","711","408","1109","164","1","3680"
"nlsr3","1895","0","0","55","55","486","341","833","124","1","1895"
"nlsr4","2617","58","58","82","82","711","360","1068","196","2","2617"
"nlsr5","2678","62","62","84","84","708","419","1112","146","1","2678"
"nlsr6","2965","0","0","85","85","724","569","1299","202","1","2965"
"nlsr7","1721","28","28","56","56","471","238","712","130","2","1721"
"nlsr8","1724","30","30","56","56","473","239","711","128","1","1724"
"nlsr9","1690","30","30","56","56","467","243","709","98","1","1690"
"nlsr10","2836","32","32","83","83","707","513","1221","164","1","2836"
"nlsr11","1950","0","0","56","56","477","373","863","124","1","1950"
"nlsr12","1682","28","28","54","54","453","238","712","114","1","1682"
"nlsr13","1678","30","30","55","55","444","237","708","118","1","1678"
"nlsr14","1665","30","30","57","57","440","239","707","104","1","1665"
"nlsr15","2718","32","32","86","86","688","469","1176","148","1","2718"
"sum","37953","2420","2420","1066","1063","8926","5418","14438","2184","18","37953"
